title,sub-title,ref,new_price,reserved_status,geo
Boucheron,QUATRE CLASSIQUE LARGE RING,JRG00623,6340,,Москва
Cartier,"LOVE bracelet, small model (SIZE 16)",B6047516,4600,,Москва
Cartier,"CLASH DE CARTIER HOOP EARRINGS, SMALL MODEL",B8301416,9700,Зарезервировано,
Bvlgari,Divas’ Dream Pendant,351051,8300,,Москва
Graff,HEART DIAMOND 2.04 CT F/VS1 RING (GIA),GRE2.04CTF/VS1,35500,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA 5 MOTIFS. PINK GOLD,VCARP2R100,20500,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA EARRINGS,VCARA44100,5450,,Москва
Van Cleef & Arpels,SWEET ALHAMBRA EARRINGS,VCARN6BO00,4000,,Москва
Van Cleef & Arpels,SWEET ALHAMBRA BUTTERFLY EARSTUDS,VCARN5JM00,3500,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA EARRINGS,VCARD40400,5900,,Москва
Van Cleef & Arpels,SWEET ALHAMBRA EARSTUDS,VCARA44800,3600,,Москва
Van Cleef & Arpels,"ALHAMBRA LONG NECKLACE, 20 MOTIFS",VCARA43100,21000,,Москва
Van Cleef & Arpels,"VINTAGE ALHAMBRA LONG NECKLACE, 20 MOTIFS",VCARF48800,22000,,Москва
Van Cleef & Arpels,"VINTAGE ALHAMBRA LONG NECKLACE, 20 MOTIFS",VCARA42100,20500,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA 5 MOTIFS MOTHER OF PEARL BRACELET,VCARA41800,6100,,Москва
Graff,TRAPEZOID CROSS PENDANT 0.94 CT,52382,8900,,Москва
Graff,HEART PENDANT,RGP048,5100,,Москва
Van Cleef & Arpels,VINTAGE ALHAMBRA 5 MOTIFS. YELLOW GOLD,VCARP4KN00,18700,,Москва
Van Cleef & Arpels,"SWEET ALHAMBRA EARSTUDS, MOTHER-OF-PEARL",VCARG12000,3700,,Москва
Van Cleef & Arpels,Vintage Alhambra Earrings,VCARP9SZ00,6500,,Москва
Cartier,"LOVE Bracelet, Medium model (SIZE 17)",B6081617,7300,,Москва
Cartier,"LOVE EARRINGS, YELLOW GOLD",B8022500,4000,,Москва
Cartier,Panthère de Cartier Earrings,B8301512,6650,,Москва
